Iteration;Execution time (ms);Genetic Algorithm;;;Simulation;;;Chromosome;allied;;conflict;;guardian;;herald;;hero;;journey;;mentor;;monomyth;;shadow;;shapeshifter;;trickster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Best fitness;Population average;Population Std. Dev.;Best Fitness;Trials Std. Dev.;Number of trials;;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;92433;0;0;0;0;0;15;[12, 0, 10, 5, 93, 0.20732862, 0.40840244, 0.81209147, 0.4716527, 0.81980014, 0.41964763, 0.8729252, 0.6137466, 0.72845334, 0.7995988, 0.7965911, 0.0964725, 0.46020633, 0.79994655, 0.37175727, 0.26738793, 0.47359526, 0.7557922, 0.7693366, 0.45881128, 0.4979149, 0.07256746, 0.4368515, 0.2832141, 0.8338629, 0.6472541, 0.24247855, 0.30628186, 0.64337987, 0.49573964, 0.1707049, 0.54196763, 0.38153535, 0.20917833, 0.41334522, 0.214827, 0.45467836, 0.43426633, 0.80013096, 0.72301024, 0.93544453, 0.32339758, 0.59506184, 0.30131578, 0.6259994, 0.36687148, 0.6866638];0;0;10,666667;6,3994045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;84429;0;0;0;0;0;15;[12, 0, 10, 5, 93, 0.20732862, 0.40840244, 0.81209147, 0.4716527, 0.81980014, 0.41964763, 0.8729252, 0.6137466, 0.72845334, 0.7995988, 0.7965911, 0.0964725, 0.46020633, 0.79994655, 0.37175727, 0.26738793, 0.47359526, 0.7557922, 0.7693366, 0.45881128, 0.4979149, 0.07256746, 0.4368515, 0.2832141, 0.8338629, 0.6472541, 0.24247855, 0.30628186, 0.64337987, 0.49573964, 0.1707049, 0.54196763, 0.38153535, 0.20917833, 0.41334522, 0.214827, 0.45467836, 0.43426633, 0.80013096, 0.72301024, 0.93544453, 0.32339758, 0.59506184, 0.30131578, 0.6259994, 0.36687148, 0.6866638];0;0;10,666667;6,3994045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;67186;0;0;0;0;0;15;[12, 0, 10, 5, 93, 0.20732862, 0.40840244, 0.81209147, 0.4716527, 0.81980014, 0.41964763, 0.8729252, 0.6137466, 0.72845334, 0.7995988, 0.7965911, 0.0964725, 0.46020633, 0.79994655, 0.37175727, 0.26738793, 0.47359526, 0.7557922, 0.7693366, 0.45881128, 0.4979149, 0.07256746, 0.4368515, 0.2832141, 0.8338629, 0.6472541, 0.24247855, 0.30628186, 0.64337987, 0.49573964, 0.1707049, 0.54196763, 0.38153535, 0.20917833, 0.41334522, 0.214827, 0.45467836, 0.43426633, 0.80013096, 0.72301024, 0.93544453, 0.32339758, 0.59506184, 0.30131578, 0.6259994, 0.36687148, 0.6866638];0;0;10,666667;6,3994045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;144259;0;0;0;0;0;15;[12, 0, 10, 5, 93, 0.20732862, 0.40840244, 0.81209147, 0.4716527, 0.81980014, 0.41964763, 0.8729252, 0.6137466, 0.72845334, 0.7995988, 0.7965911, 0.0964725, 0.46020633, 0.79994655, 0.37175727, 0.26738793, 0.47359526, 0.7557922, 0.7693366, 0.45881128, 0.4979149, 0.07256746, 0.4368515, 0.2832141, 0.8338629, 0.6472541, 0.24247855, 0.30628186, 0.64337987, 0.49573964, 0.1707049, 0.54196763, 0.38153535, 0.20917833, 0.41334522, 0.214827, 0.45467836, 0.43426633, 0.80013096, 0.72301024, 0.93544453, 0.32339758, 0.59506184, 0.30131578, 0.6259994, 0.36687148, 0.6866638];0;0;10,666667;6,3994045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;109960;0;0;0;0;0;15;[12, 0, 10, 5, 93, 0.20732862, 0.40840244, 0.81209147, 0.4716527, 0.81980014, 0.41964763, 0.8729252, 0.6137466, 0.72845334, 0.7995988, 0.7965911, 0.0964725, 0.46020633, 0.79994655, 0.37175727, 0.26738793, 0.47359526, 0.7557922, 0.7693366, 0.45881128, 0.4979149, 0.07256746, 0.4368515, 0.2832141, 0.8338629, 0.6472541, 0.24247855, 0.30628186, 0.64337987, 0.49573964, 0.1707049, 0.54196763, 0.38153535, 0.20917833, 0.41334522, 0.214827, 0.45467836, 0.43426633, 0.80013096, 0.72301024, 0.93544453, 0.32339758, 0.59506184, 0.30131578, 0.6259994, 0.36687148, 0.6866638];0;0;10,666667;6,3994045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;78601;0;0;0;0;0;15;[12, 0, 10, 5, 93, 0.20732862, 0.40840244, 0.81209147, 0.4716527, 0.81980014, 0.41964763, 0.8729252, 0.6137466, 0.72845334, 0.7995988, 0.7965911, 0.0964725, 0.46020633, 0.79994655, 0.37175727, 0.26738793, 0.47359526, 0.7557922, 0.7693366, 0.45881128, 0.4979149, 0.07256746, 0.4368515, 0.2832141, 0.8338629, 0.6472541, 0.24247855, 0.30628186, 0.64337987, 0.49573964, 0.1707049, 0.54196763, 0.38153535, 0.20917833, 0.41334522, 0.214827, 0.45467836, 0.43426633, 0.80013096, 0.72301024, 0.93544453, 0.32339758, 0.59506184, 0.30131578, 0.6259994, 0.36687148, 0.6866638];0;0;10,666667;6,3994045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;74041;0;0;0;0;0;15;[12, 0, 10, 5, 93, 0.20732862, 0.40840244, 0.81209147, 0.4716527, 0.81980014, 0.41964763, 0.8729252, 0.6137466, 0.72845334, 0.7995988, 0.7965911, 0.0964725, 0.46020633, 0.79994655, 0.37175727, 0.26738793, 0.47359526, 0.7557922, 0.7693366, 0.45881128, 0.4979149, 0.07256746, 0.4368515, 0.2832141, 0.8338629, 0.6472541, 0.24247855, 0.30628186, 0.64337987, 0.49573964, 0.1707049, 0.54196763, 0.38153535, 0.20917833, 0.41334522, 0.214827, 0.45467836, 0.43426633, 0.80013096, 0.72301024, 0.93544453, 0.32339758, 0.59506184, 0.30131578, 0.6259994, 0.36687148, 0.6866638];0;0;10,666667;6,3994045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;92454;0;0;0;0;0;15;[12, 0, 10, 5, 93, 0.20732862, 0.40840244, 0.81209147, 0.4716527, 0.81980014, 0.41964763, 0.8729252, 0.6137466, 0.72845334, 0.7995988, 0.7965911, 0.0964725, 0.46020633, 0.79994655, 0.37175727, 0.26738793, 0.47359526, 0.7557922, 0.7693366, 0.45881128, 0.4979149, 0.07256746, 0.4368515, 0.2832141, 0.8338629, 0.6472541, 0.24247855, 0.30628186, 0.64337987, 0.49573964, 0.1707049, 0.54196763, 0.38153535, 0.20917833, 0.41334522, 0.214827, 0.45467836, 0.43426633, 0.80013096, 0.72301024, 0.93544453, 0.32339758, 0.59506184, 0.30131578, 0.6259994, 0.36687148, 0.6866638];0;0;10,666667;6,3994045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;133272;0;0;0;0;0;15;[12, 0, 10, 5, 93, 0.20732862, 0.40840244, 0.81209147, 0.4716527, 0.81980014, 0.41964763, 0.8729252, 0.6137466, 0.72845334, 0.7995988, 0.7965911, 0.0964725, 0.46020633, 0.79994655, 0.37175727, 0.26738793, 0.47359526, 0.7557922, 0.7693366, 0.45881128, 0.4979149, 0.07256746, 0.4368515, 0.2832141, 0.8338629, 0.6472541, 0.24247855, 0.30628186, 0.64337987, 0.49573964, 0.1707049, 0.54196763, 0.38153535, 0.20917833, 0.41334522, 0.214827, 0.45467836, 0.43426633, 0.80013096, 0.72301024, 0.93544453, 0.32339758, 0.59506184, 0.30131578, 0.6259994, 0.36687148, 0.6866638];0;0;10,666667;6,3994045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
